model,hypothesis,params,val_mae,val_rmse,val_r2,test_mae,test_rmse,test_r2,comment
Baseline LinearRegression without FE,Простая линейная модель на исходных OHLCV даст точку отсчета без feature engineering.,{},1.8758724304447618,3.0303334487693507,0.9998296580030853,2.350106878687229,4.408409759583705,0.9995467057296128,Baseline без новых признаков.
Weighted blend: naive + Ridge,Взвешенный ансамбль стабилизирует ML-прогноз сильным наивным baseline.,"{""alpha"": 0.1, ""ml_model"": ""Ridge"", ""naive_weight"": 0.93}",1.8766410215175602,3.032103762701741,0.9998294112253838,2.346854416743721,4.379624342556603,0.9995525117566867,"Финальная модель: ансамбль/блендинг, вес найден на validation."
Naive close(t),На минутном горизонте лучшая простая эвристика - цена следующей минуты примерно равна текущей.,{},1.8767422600188939,3.0362759540542257,0.9998289414402197,2.3458184647879436,4.3833252310491,0.999551755160374,Сильный финансовый baseline для горизонта 1 минута.
Ridge,L2-регуляризация должна стабилизировать линейную модель на скоррелированных признаках.,"{""alpha"": 0.1}",1.8876787220253755,3.0299509175214396,0.9998296533812417,2.412310603533606,4.858656044786847,0.9994492681178507,Лучшие параметры выбраны по validation MAE без использования test.
ElasticNet,L1+L2-регуляризация может занулить слабые признаки и снизить переобучение.,"{""alpha"": 0.0001, ""l1_ratio"": 0.2}",1.8887941319695098,3.0562228798831,0.9998266865066175,2.3910009371023677,4.767497730178985,0.9994697399631014,Лучшие параметры выбраны по validation MAE без использования test.
LinearRegression,Линейная зависимость лагов и текущих цен может быть достаточной для очень короткого горизонта.,{},1.8893242947301594,3.0252317312510897,0.9998301836019655,2.392223430775629,4.759358000282102,0.9994715490835818,Лучшие параметры выбраны по validation MAE без использования test.
Ridge+PCA95,PCA уменьшает размерность скоррелированных лагов и rolling-признаков перед Ridge.,"{""alpha"": 0.1}",2.006859640198594,3.1984644643942786,0.9998101785044338,2.5645804332412783,5.562327680443383,0.9992781930697296,Лучшие параметры выбраны по validation MAE без использования test.
RandomForest,Нелинейный ансамбль деревьев может поймать режимы рынка и взаимодействия признаков.,"{""max_depth"": 8, ""min_samples_leaf"": 5, ""n_estimators"": 10}",2.6784601044706995,4.020126729544172,0.9997001239244525,2.7206943260464067,4.6479491095315035,0.9994959998839696,Лучшие параметры выбраны по validation MAE без использования test.
ExtraTrees,Сильно рандомизированные деревья могут быть устойчивее RandomForest на шумных минутных данных.,"{""max_depth"": 8, ""min_samples_leaf"": 5, ""n_estimators"": 10}",2.704258674814159,4.068401660287692,0.999692878672303,2.8806022111570715,5.5024015507472,0.9992936621655032,Лучшие параметры выбраны по validation MAE без использования test.
