model,MAE,RMSE,MAPE_%,R2,direction_accuracy_%,fit_seconds
Persistence baseline,1.9548559999999975,2.843278300366203,0.04401408073558038,0.9992684118473524,1.1066666666666667,0.0
ElasticNet(alpha=0.001),1.9630878696021725,2.853508031619836,0.044197261417146735,0.9992631380665129,49.586666666666666,0.24
Ridge(alpha=1.0),1.976209926811093,2.8690419105636673,0.044494269970984095,0.999255093596619,50.54666666666666,0.09
RandomForest(tiny),2.0806247713801156,2.9601571417253645,0.046850727224843354,0.9992070287246605,48.66666666666667,2.44
SGDRegressor,2.090130680024028,3.0191826025367776,0.04706299660309124,0.9991750897816353,50.18666666666667,0.13
DecisionTree(max_depth=8),2.1934705858832486,3.0593127692293467,0.04939745267671668,0.9991530150731619,49.346666666666664,0.85
ExtraTrees(tiny),2.2218550406623723,3.3189304878666177,0.05003628158953799,0.999003162801604,49.81333333333333,0.3
DummyRegressor(mean),135.98163114770858,150.46191872941648,3.0447872602958714,-1.0487129577345295,49.6,0.08
