open_time,open,high,low,close,volume,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume
2025-10-11 09:55:00,3825.52,3829.89,3824.63,3828.05,197.2247,754924.007498,5539.0,87.7385,335798.05831
2025-10-11 09:56:00,3828.05,3832.27,3827.83,3832.09,231.9237,888388.258032,4325.0,71.1846,272660.947093
2025-10-11 09:57:00,3832.09,3832.09,3826.74,3829.05,229.7307,879644.184621,6573.0,120.3834,460905.141187
2025-10-11 09:58:00,3829.05,3829.05,3826.08,3828.01,167.1776,639814.623566,3918.0,52.1363,199529.907088
2025-10-11 09:59:00,3828.01,3831.46,3825.4,3829.37,540.1851,2068146.616923,5640.0,362.0639,1386203.58607
2025-10-11 10:00:00,3829.36,3831.73,3828.11,3831.68,339.9204,1301883.297362,4417.0,119.3316,457052.354475
2025-10-11 10:01:00,3831.68,3831.68,3825.85,3827.9,372.5599,1426628.259026,6433.0,124.3731,476239.055411
2025-10-11 10:02:00,3827.91,3827.91,3820.83,3821.67,575.69,2200669.72239,5553.0,219.047,837128.815099
2025-10-11 10:03:00,3821.67,3826.61,3821.67,3823.96,511.5707,1956187.406218,7830.0,185.5764,709552.108813
2025-10-11 10:04:00,3823.96,3824.88,3822.0,3822.34,236.0944,902716.64827,4292.0,46.9324,179441.576491
2025-10-11 10:05:00,3822.35,3822.41,3818.32,3818.72,554.8905,2119967.266416,6476.0,142.071,542915.584157
2025-10-11 10:06:00,3818.72,3828.28,3818.72,3824.19,312.0003,1193122.557431,6467.0,171.8319,657020.508821
2025-10-11 10:07:00,3824.19,3824.2,3821.15,3821.84,199.6473,763049.697693,2919.0,79.2468,302856.586262
2025-10-11 10:08:00,3821.85,3825.77,3819.69,3820.26,437.0299,1670204.836464,6292.0,84.7854,324037.395134
2025-10-11 10:09:00,3820.25,3824.68,3819.87,3823.01,275.9909,1055014.984641,6051.0,127.6761,488049.664704
2025-10-11 10:10:00,3823.02,3829.5,3822.65,3828.37,328.4,1256615.251097,4218.0,168.1077,643234.848417
2025-10-11 10:11:00,3828.36,3832.0,3828.22,3830.93,373.2316,1429802.520789,3107.0,200.3388,767470.087531
2025-10-11 10:12:00,3830.92,3833.39,3829.8,3829.8,438.5343,1680171.174477,3921.0,205.7808,788457.405259
2025-10-11 10:13:00,3829.81,3833.12,3829.81,3833.11,186.9803,716538.568341,2293.0,100.5507,385324.090335
